 11G	PDATA_EDA.MEA_SPC_T8
 27G	PDATA_EDA.MEA_SPC_T8B_PARA
3.3G	PDATA_EDA.MEA_SPC_T8B_RAW
 70G	PDATA_EDA.MEA_SPC_T8_PARA
5.8G	PDATA_EDA.MEA_SPC_T8_RAW
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_F8
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_L8
9.8M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_T8
202K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_DCI_T8A
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F1
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F2
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F3
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F4
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F5
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F6
9.0M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F7
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_F8
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_L7
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T1
1.7M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T2
 11M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T3
 65K	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T4
105M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T5
6.6M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T6
 11M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T7
2.0M	PDATA_EDA.PDN_PNL_DFCT_RTQCS_T8
266M	PDATA_EDA.REF_MEA_EDC_DEF
154K	PDATA_EDA.TMP_201901121700
178K	PDATA_QIS.DASH_CASE
7.2M	PDATA_QIS.DAS_SAVE_CASE
676K	PDATA_QIS.DCIC_HIS_T8
 90K	PDATA_QIS.DCIC_META_META
242K	PDATA_QIS.DCIC_META_T8
116K	PDATA_QIS.DDPRC_META_META
 65K	PDATA_QIS.DDPR_CALC_RES_F1
 65K	PDATA_QIS.DDPR_CALC_RES_F2
 65K	PDATA_QIS.DDPR_CALC_RES_F3
 65K	PDATA_QIS.DDPR_CALC_RES_F4
 65K	PDATA_QIS.DDPR_CALC_RES_F5
 65K	PDATA_QIS.DDPR_CALC_RES_F6
 90K	PDATA_QIS.DDPR_CALC_RES_F7
 65K	PDATA_QIS.DDPR_CALC_RES_F8
 65K	PDATA_QIS.DDPR_CALC_RES_FT6
 65K	PDATA_QIS.DDPR_CALC_RES_L1
 65K	PDATA_QIS.DDPR_CALC_RES_L7
 65K	PDATA_QIS.DDPR_CALC_RES_T1
 90K	PDATA_QIS.DDPR_CALC_RES_T2
 90K	PDATA_QIS.DDPR_CALC_RES_T3
 65K	PDATA_QIS.DDPR_CALC_RES_T4
 90K	PDATA_QIS.DDPR_CALC_RES_T5
154K	PDATA_QIS.DDPR_CALC_RES_T6
154K	PDATA_QIS.DDPR_CALC_RES_T7
 90K	PDATA_QIS.DDPR_CALC_RES_T8
 65K	PDATA_QIS.DDPR_CALC_RES_T8B
 65K	PDATA_QIS.DPPR_META_F1
 65K	PDATA_QIS.DPPR_META_F2
 65K	PDATA_QIS.DPPR_META_F3
 65K	PDATA_QIS.DPPR_META_F4
 65K	PDATA_QIS.DPPR_META_F5
 65K	PDATA_QIS.DPPR_META_F6
 92K	PDATA_QIS.DPPR_META_F7
 65K	PDATA_QIS.DPPR_META_F8
 65K	PDATA_QIS.DPPR_META_FT6
 65K	PDATA_QIS.DPPR_META_L4
 65K	PDATA_QIS.DPPR_META_L7
 65K	PDATA_QIS.DPPR_META_T1
 90K	PDATA_QIS.DPPR_META_T2
114K	PDATA_QIS.DPPR_META_T3
 65K	PDATA_QIS.DPPR_META_T4
330K	PDATA_QIS.DPPR_META_T5
178K	PDATA_QIS.DPPR_META_T6
226K	PDATA_QIS.DPPR_META_T7
210K	PDATA_QIS.DPPR_META_T8
 65K	PDATA_QIS.DPPR_META_T8B
644K	PDATA_QIS.MCS_FUN
5.8G	PEDAMART.DIM_KFM_EDC_ITEM
179M	PEDAMART.DIM_KFM_SPC_ITEM
